date,price,sma,multiple,percentile,volAdjPercentile
2020-03-20,6385.23,8400.745129185694,0.7600785835234916,16.64951106536284,15.851775604734947
2020-03-21,6145.70,8407.244388127854,0.7310009719858975,15.156973751930005,14.848172928461143
2020-03-22,6191.81,8413.17644082953,0.7359652150267789,15.388574369531652,14.976839938239836
2020-03-23,6022.66,8419.230644025876,0.7153457221502256,14.745239320638188,13.741636644364386
2020-03-24,6597.55,8424.853052511417,0.7831060590731038,18.219248584662893,16.366443643849717
2020-03-25,6680.31,8432.074976598175,0.7922496033414835,18.60524961399897,16.598044261451363
2020-03-26,6657.27,8439.678296803653,0.7888057050006501,18.45084920226454,16.49511065362841
2020-03-27,6706.15,8447.020504756469,0.7939072022958236,18.708183221821926,16.623777663407104
2020-03-28,6295.93,8454.408522070016,0.7446922083718106,16.031909418425116,15.23417395779722
2020-03-29,6160.12,8460.573577245055,0.7280970849188214,15.05404014410705,14.359238291302109
2020-03-30,6176.51,8466.263247716897,0.7295441280489964,15.131240349974268,14.487905301080803
2020-03-31,6457.39,8471.988338850839,0.7622044019989116,16.82964487905301,15.748841996911992
2020-04-01,6311.18,8478.395894025878,0.7443842261616624,15.9547092125579,15.156973751930005
2020-04-02,6664.86,8483.272676369867,0.785647562474911,18.29644879053011,16.340710241893976
2020-04-03,6820.61,8487.886133751905,0.8035701349047948,19.222851260936697,16.958311888831705
2020-04-04,6756.01,8492.822206430747,0.795496296389612,18.836850231600618,16.64951106536284
2020-04-05,6807.96,8497.746480022832,0.8011490918215424,19.14565105506948,16.855378281008747
2020-04-06,7007.96,8502.598777397261,0.8242140762718005,20.123520329387546,17.704580545548122
2020-04-07,7334.79,8507.800549657535,0.8621250187427796,22.696860524961398,19.583118888317035
2020-04-08,7271.17,8513.578382420092,0.8540674207651608,22.079258878023676,18.96551724137931
2020-04-09,7314.72,8519.170016933029,0.8586186994761857,22.388059701492537,19.274318064848174
2020-04-10,7042.75,8524.81645129376,0.826147186304658,20.252187339166237,17.85898095728255
2020-04-11,6881.76,8529.937369292236,0.8067778886496231,19.428718476582603,17.112712300566134
2020-04-12,6907.55,8534.969913622526,0.8093235666410065,19.505918682449817,17.138445702521874
2020-04-13,6788.92,8539.968263318115,0.7949578804180104,18.7596500257334,16.675244467318578
2020-04-14,6879.32,8544.678950342466,0.8050996445964066,19.30005146680391,17.03551209469892
2020-04-15,6830.48,8549.447923135465,0.7989382511750743,18.939783839423573,16.82964487905301
2020-04-16,6849.62,8554.270666856926,0.8007254654274163,19.094184251158,16.932578486875965
2020-04-17,7074.73,8558.75291914003,0.826608038013579,20.303654143077715,17.987647967061246
2020-04-18,7123.82,8563.74487614155,0.8318584503274403,20.58672156459084,18.219248584662893
2020-04-19,7181.49,8568.848993911723,0.8380931703367617,20.844055584148226,18.39938239835306
2020-04-20,7101.96,8573.978464041096,0.8283151896179264,20.483787956767884,18.039114770972724
2020-04-21,6863.19,8578.93351978691,0.8000053575363586,19.068450849202264,16.984045290787442
2020-04-22,6962.14,8583.217485920852,0.8111343053112492,19.634585692228512,17.292846114256307
2020-04-23,7221.83,8587.217720509894,0.8409981603595279,20.998455995882654,18.502316006176017
2020-04-24,7525.36,8591.912648782343,0.87586595989322,23.803396809058157,21.82192485846629
2020-04-25,7540.79,8597.61033675799,0.8770792821975308,23.98353062274833,22.079258878023676
2020-04-26,7584.56,8604.081923325723,0.881506720793172,24.215131240349976,22.67112712300566
2020-04-27,7698.96,8610.742230593607,0.8941113984835927,25.038600102933607,24.009264024704066
2020-04-28,7730.04,8617.644654870624,0.897001511127385,25.270200720535257,24.112197632527018
2020-04-29,8069.93,8624.697883751902,0.935676945557153,27.148739063304166,26.73700463201235
2020-04-30,8902.05,8632.616216514458,1.0312105918421215,30.699948533196086,31.085949562532168
2020-05-01,8775.57,8642.494687024353,1.0153975081546627,29.876479670612454,30.18528049408132
2020-05-02,8851.34,8651.891833143072,1.0230525256637584,30.262480699948537,30.674215131240352
2020-05-03,8988.22,8660.878821156772,1.0377958338796898,31.18888317035512,31.497683993823983
2020-05-04,8766.87,8669.93682591324,1.0111805625871753,29.56767884714359,29.696345856922285
2020-05-05,8920.93,8678.271205098934,1.027962107601779,30.46834791559444,30.983015954709213
2020-05-06,9108.01,8687.19697374429,1.0484410787730754,31.806484817292848,32.11528564076171
2020-05-07,9392.46,8696.161099695586,1.0800691682724115,33.68502316006176,35.07462686567165
2020-05-08,9912.14,8705.904365296805,1.138553910360513,38.54863612969635,39.3206381883685
2020-05-09,9778.77,8716.587843036528,1.1218573564031091,37.442099845599586,38.39423571796192
2020-05-10,8841.72,8726.2495880898,1.0132326553820405,29.670612454966545,29.953679876479672
2020-05-11,8724.76,8732.17989935312,0.9991502889319512,28.924343798250128,28.950077200205865
2020-05-12,8741.62,8736.443032343986,1.0005925954041228,29.027277406073082,29.027277406073082
2020-05-13,8960.37,8740.50824181887,1.0251548612491515,30.416881111682965,30.82861554297478
2020-05-14,9506.94,8743.115675799085,1.0873626738353768,34.3798250128667,35.56356150283067
2020-05-15,9588.18,8747.251074771688,1.0961359525328531,35.151827071538854,36.258363355635616
2020-05-16,9398.04,8751.469985540332,1.0738811135570705,33.376222336592896,34.35409161091096
2020-05-17,9567.57,8757.023951293755,1.0925599058656663,34.76582604220278,36.07822954194545
2020-05-18,9723.74,8763.196698820393,1.1096113398737766,36.67009778692743,37.5193000514668
2020-05-19,9670.57,8768.471076293758,1.1028800326218564,35.79516212043232,36.77303139475039
2020-05-20,9697.56,8773.25073915525,1.105355921209147,36.12969634585692,37.056098816263514
2020-05-21,9357.14,8778.043483257228,1.06597145113798,32.964487905301084,33.582089552238806
2020-05-22,9108.86,8781.937822678841,1.0372267112376963,31.11168296448791,31.446217189912506
2020-05-23,9201.28,8785.850902777775,1.0472836007876394,31.677817807514153,32.01235203293876
2020-05-24,9160.52,8789.268283866057,1.0422397356550395,31.39475038600103,31.703551209469893
2020-05-25,8833.22,8792.321323249616,1.004651817474465,29.28461142563047,29.361811631497687
2020-05-26,8870.97,8794.534410388125,1.0086913394717107,29.38754503345342,29.541945445187856
2020-05-27,8977.47,8794.828338470317,1.0207668124253961,30.082346886258364,30.571281523417397
2020-05-28,9261.78,8795.473502473362,1.0530168820051402,32.19248584662893,32.29541945445188
2020-05-29,9465.15,8797.142681126332,1.0759346492477422,33.45342254246012,34.66289243437983
2020-05-30,9484.23,8799.267047374427,1.0778436641425795,33.65928975810602,34.86875965002573
2020-05-31,9560.07,8802.453676940639,1.0860690497064538,34.22542460113227,35.53782810087493
2020-06-01,9531.05,8805.264510844747,1.0824261474403218,33.94235717961915,35.30622748327329
2020-06-02,9924.29,8807.690250761032,1.1267758308306186,37.72516726711272,38.831703551209465
2020-06-03,9538.06,8811.38024162861,1.0824710821686927,33.968090581574884,35.35769428718476
2020-06-04,9666.17,8815.62416990106,1.0964810831990552,35.203293875450335,36.361296963458564
2020-06-05,9760.32,8820.873277207002,1.1065028463915705,36.30983015954709,37.26196603190942
2020-06-06,9636.83,8826.35891000761,1.0918243928883047,34.68862583633556,36.05249613998971
2020-06-07,9610.42,8831.131712899542,1.088243592376972,34.50849202264539,35.79516212043232
2020-06-08,9728.50,8835.66825304414,1.1010491084730387,35.56356150283067,36.644364384971695
2020-06-09,9703.49,8840.837452245052,1.0975757289426233,35.30622748327329,36.48996397323726
2020-06-10,9769.33,8846.1398011796,1.1043613306811535,36.026762738033966,37.00463201235203
2020-06-11,9739.54,8851.25254223744,1.1003572841083293,35.53782810087493,36.59289758106022
2020-06-12,9386.42,8856.017089041094,1.0598915219089637,32.552753474009265,33.14462171899125
2020-06-13,9431.05,8859.409810121762,1.0645230052210375,32.88728769943386,33.42768914050438
2020-06-14,9414.95,8862.51013850837,1.062334899740837,32.68142048378795,33.27328872876995
2020-06-15,9229.90,8864.499941590562,1.0412204178634366,31.317550180133814,31.600617601646935
2020-06-16,9483.09,8864.945802701672,1.0697293339970992,33.17035512094699,34.07102418939784
2020-06-17,9460.42,8865.77019920091,1.0670721645903822,33.01595470921256,33.86515697375193
2020-06-18,9412.24,8866.494186834092,1.0615509679222925,32.604220277920746,33.24755532681421
2020-06-19,9337.09,8867.293161910196,1.0529809093009923,32.166752444673186,32.346886258363355
2020-06-20,9294.63,8867.401087519023,1.04817958810127,31.72928461142563,32.166752444673186
2020-06-21,9353.98,8866.184377853879,1.0550177479237348,32.29541945445188,32.552753474009265
2020-06-22,9422.32,8862.730047754942,1.0631397441629586,32.784354091610915,33.350488934637156
2020-06-23,9642.98,8859.262187404865,1.0884631252975752,34.53422542460113,35.89809572825528
2020-06-24,9499.44,8855.96641685692,1.0726602314152136,33.29902213072568,34.53422542460113
2020-06-25,9233.32,8851.256871575339,1.0431644916612461,31.420483787956766,31.9094184251158
2020-06-26,9196.68,8842.4374686073,1.0400615440388468,31.266083376222337,31.626351003602675
2020-06-27,9140.24,8834.446398401822,1.0346140885507924,30.93154915079774,31.343283582089555
2020-06-28,9034.36,8828.150433219173,1.023358656494064,30.28821410190427,30.777148739063303
2020-06-29,9101.48,8820.298790905628,1.0318789072272778,30.751415337107566,31.18888317035512
2020-06-30,9158.40,8813.216519216128,1.0391666430787487,31.240349974266596,31.677817807514153
2020-07-01,9175.44,8808.720421613387,1.0416318185907034,31.369016984045288,31.93515182707154
2020-07-02,9191.99,8805.759094939112,1.0438610053447333,31.497683993823983,32.03808543489449
2020-07-03,9094.83,8800.22854642313,1.0334765211330723,30.85434894493052,31.291816778178077
2020-07-04,9084.02,8792.917239726023,1.0331067263323284,30.802882141019044,31.266083376222337
2020-07-05,9078.13,8787.034232115673,1.0331282223046252,30.82861554297478,31.317550180133814
2020-07-06,9169.98,8780.75172640791,1.044327933561433,31.5748841996912,32.141019042717446
2020-07-07,9277.39,8774.980449010649,1.0572547930787568,32.42408646423057,33.32475553268142
